variable,bin,count,count_distr,neg,pos,posprob,woe,bin_iv,total_iv,breaks,is_special_values,source_variable
credit_score,"[-Inf,710)",7283,0.13160938234124833,7138,145,0.01990937800356996,1.2319550792383596,0.38810498639878904,0.846579090544449,710,FALSE,credit_score
credit_score,"[710,740)",7431,0.1342838555784452,7359,72,0.009689140088817117,0.5013960269573472,0.043665618342656844,0.846579090544449,740,FALSE,credit_score
credit_score,"[740,775)",14546,0.26285734938017274,14484,62,0.004262340162243916,-0.3252562449725495,0.02377751978535477,0.846579090544449,775,FALSE,credit_score
credit_score,"[775, Inf)",26078,0.4712494127001337,26031,47,0.0018022854513382927,-1.18848657188365,0.3910309660176483,0.846579090544449,Inf,FALSE,credit_score
original_combined_loan_to_value,"[-Inf,54)",6954,0.12566410061802016,6936,18,0.0025884383088869713,-0.8256995196963223,0.05851473083911919,0.35443121119137255,54,FALSE,original_combined_loan_to_value
original_combined_loan_to_value,"[54,64)",7675,0.13869312226679678,7666,9,0.0011726384364820848,-1.6189164277363903,0.18090428192773264,0.35443121119137255,64,FALSE,original_combined_loan_to_value
original_combined_loan_to_value,"[64,82)",28054,0.5069572445697351,27891,163,0.0058102231410850505,-0.013899893449314683,9.72780298477821e-5,0.35443121119137255,82,FALSE,original_combined_loan_to_value
original_combined_loan_to_value,"[82, Inf)",12655,0.22868553254544796,12519,136,0.010746740418806796,0.6060613573442805,0.11491492039467296,0.35443121119137255,Inf,FALSE,original_combined_loan_to_value
original_debt_to_income_ratio,"[-Inf,26)",16464,0.2975170768730348,16431,33,0.0020043731778425656,-1.08200827111746,0.21364609734545079,0.4421306226912827,26,FALSE,original_debt_to_income_ratio
original_debt_to_income_ratio,"[26,36)",18156,0.32809281144963676,18079,77,0.004241022251597268,-0.33029165996043997,0.030532514190557886,0.4421306226912827,36,FALSE,original_debt_to_income_ratio
original_debt_to_income_ratio,"[36,43)",11906,0.2151505294734179,11808,98,0.008231143961028054,0.33684417269820893,0.02895829791361595,0.4421306226912827,43,FALSE,original_debt_to_income_ratio
original_debt_to_income_ratio,"[43, Inf)",8812,0.15923958220391052,8694,118,0.013390830685428961,0.8287054537848182,0.16899371324165813,0.4421306226912827,Inf,FALSE,original_debt_to_income_ratio
original_interest_rate,"[-Inf,3)",23285,0.42077776573060105,23237,48,0.002061412926776895,-1.0538908630778312,0.2899880677209797,0.3971888986267318,3,FALSE,original_interest_rate
original_interest_rate,"[3, Inf)",32053,0.579222234269399,31775,278,0.00867313511995757,0.38959525850087295,0.10720083090575211,0.3971888986267318,Inf,FALSE,original_interest_rate
number_of_borrowers,1,21846,0.3947739347283964,21647,199,0.009109219079007599,0.43909190989252783,0.09525373751761153,0.1912829011939549,1,FALSE,number_of_borrowers
number_of_borrowers,"2%,%3%,%4%,%5%,%6",33492,0.6052260652716036,33365,127,0.003791950316493491,-0.442666398011225,0.09602916367634337,0.1912829011939549,"2%,%3%,%4%,%5%,%6",FALSE,number_of_borrowers
